iter	Passed	Remaining
1288	39958	22040
1289	39991	22010
1290	40019	21978
1291	40051	21947
1292	40082	21916
1293	40112	21885
1294	40145	21855
1295	40175	21823
1296	40208	21793
1297	40243	21765
1298	40277	21735
1299	40311	21706
1300	40345	21676
1301	40376	21645
1302	40408	21615
1303	40440	21584
1304	40470	21553
1305	40502	21522
1306	40531	21490
1307	40563	21459
1308	40597	21430
1309	40629	21400
1310	40661	21369
1311	40693	21339
1312	40725	21308
1313	40757	21278
1314	40790	21248
1315	40823	21218
1316	40857	21188
1317	40890	21158
1318	40921	21127
1319	40956	21099
1320	40990	21069
1321	41022	21038
1322	41056	21009
1323	41087	20978
1324	41120	20948
1325	41151	20917
1326	41183	20886
1327	41214	20855
1328	41244	20823
1329	41275	20793
1330	41306	20761
1331	41337	20731
1332	41372	20701
1333	41404	20671
1334	41437	20641
1335	41471	20611
1336	41502	20580
1337	41536	20551
1338	41571	20522
1339	41603	20491
1340	41637	20461
1341	41671	20432
1342	41704	20401
1343	41735	20370
1344	41767	20340
1345	41800	20310
1346	41832	20279
1347	41865	20249
1348	41898	20219
1349	41929	20188
1350	41963	20158
1351	41997	20128
1352	42029	20098
1353	42059	20067
1354	42093	20037
1355	42123	20005
1356	42153	19973
1357	42185	19943
1358	42217	19912
1359	42249	19882
1360	42281	19851
1361	42313	19820
1362	42346	19790
1363	42377	19759
1364	42411	19729
1365	42445	19700
1366	42478	19670
1367	42512	19640
1368	42544	19609
1369	42579	19580
1370	42609	19548
1371	42640	19517
1372	42673	19487
1373	42706	19457
1374	42737	19426
1375	42768	19395
1376	42798	19363
1377	42828	19331
1378	42863	19302
1379	42894	19271
1380	42926	19240
1381	42958	19210
1382	42991	19180
1383	43024	19149
1384	43057	19119
1385	43091	19089
1386	43125	19059
1387	43161	19030
1388	43192	18999
1389	43225	18969
1390	43259	18939
1391	43293	18909
1392	43324	18878
1393	43356	18848
1394	43387	18816
1395	43420	18786
1396	43455	18756
1397	43489	18727
1398	43520	18696
1399	43551	18664
1400	43587	18636
1401	43621	18606
1402	43654	18575
1403	43687	18545
1404	43720	18515
1405	43752	18484
1406	43785	18454
1407	43818	18423
1408	43853	18394
1409	43885	18363
1410	43923	18335
1411	43960	18306
1412	43993	18276
1413	44025	18245
1414	44059	18215
1415	44092	18185
1416	44126	18155
1417	44160	18125
1418	44194	18094
1419	44226	18064
1420	44258	18033
1421	44290	18002
1422	44320	17971
1423	44350	17939
1424	44383	17909
1425	44416	17878
1426	44447	17847
1427	44479	17816
1428	44513	17786
1429	44545	17755
1430	44579	17725
1431	44614	17696
1432	44646	17665
1433	44679	17634
1434	44710	17603
1435	44744	17573
1436	44777	17543
1437	44810	17512
1438	44845	17483
1439	44878	17452
1440	44912	17422
1441	44944	17391
1442	44976	17361
1443	45010	17331
1444	45056	17305
1445	45097	17277
1446	45129	17247
1447	45161	17216
1448	45195	17186
1449	45230	17156
1450	45266	17126
1451	45299	17096
1452	45332	17066
1453	45363	17034
1454	45395	17003
1455	45432	16974
1456	45471	16946
1457	45507	16917
1458	45541	16886
1459	45575	16856
1460	45609	16826
1461	45641	16795
1462	45674	16764
1463	45714	16737
1464	45746	16706
1465	45778	16675
1466	45808	16643
1467	45838	16611
1468	45870	16580
1469	45901	16549
1470	45934	16518
1471	45965	16487
1472	45999	16457
1473	46031	16426
1474	46062	16395
1475	46095	16364
1476	46130	16334
1477	46160	16302
1478	46191	16271
1479	46222	16240
1480	46255	16209
1481	46288	16179
1482	46319	16147
1483	46351	16116
1484	46383	16085
1485	46414	16054
1486	46446	16023
1487	46480	15993
1488	46515	15963
1489	46549	15933
1490	46582	15902
1491	46617	15872
1492	46651	15842
1493	46685	15811
1494	46719	15781
1495	46754	15751
1496	46786	15720
1497	46818	15689
1498	46849	15658
1499	46880	15626
1500	46913	15596
1501	46946	15565
1502	46979	15534
1503	47013	15504
1504	47046	15473
1505	47080	15443
1506	47114	15412
1507	47148	15382
1508	47182	15352
1509	47214	15321
1510	47247	15290
1511	47279	15259
1512	47312	15228
1513	47344	15197
1514	47377	15167
1515	47411	15136
1516	47444	15105
1517	47478	15075
1518	47511	15044
1519	47545	15014
1520	47580	14984
1521	47612	14953
1522	47644	14922
1523	47676	14891
1524	47706	14859
1525	47738	14828
1526	47770	14797
1527	47803	14766
1528	47834	14735
1529	47868	14704
1530	47902	14674
1531	47936	14643
1532	47970	14613
1533	48005	14583
1534	48040	14552
1535	48074	14522
1536	48109	14492
1537	48141	14461
1538	48174	14430
1539	48207	14399
1540	48241	14369
1541	48273	14338
1542	48303	14306
1543	48333	14274
1544	48364	14243
1545	48398	14212
1546	48430	14181
1547	48460	14150
1548	48492	14118
1549	48523	14087
1550	48553	14055
1551	48582	14023
1552	48614	13992
1553	48644	13961
1554	48673	13929
1555	48706	13898
1556	48735	13866
1557	48765	13834
1558	48798	13803
1559	48831	13773
1560	48863	13741
1561	48894	13710
1562	48925	13679
1563	48956	13647
1564	48990	13617
1565	49024	13586
1566	49056	13555
1567	49087	13524
1568	49119	13492
1569	49149	13461
1570	49180	13429
1571	49212	13398
1572	49242	13367
1573	49275	13336
1574	49309	13305
1575	49340	13274
1576	49371	13242
1577	49404	13212
1578	49434	13180
1579	49467	13149
1580	49500	13118
1581	49528	13086
1582	49561	13055
1583	49593	13024
1584	49625	12993
1585	49657	12962
1586	49689	12931
1587	49721	12900
1588	49753	12868
1589	49786	12838
1590	49819	12807
1591	49851	12775
1592	49886	12745
1593	49916	12714
1594	49946	12682
1595	49976	12650
1596	50012	12620
1597	50043	12589
1598	50074	12557
1599	50105	12526
1600	50137	12495
1601	50169	12464
1602	50204	12433
1603	50237	12402
1604	50269	12371
1605	50302	12340
1606	50335	12309
1607	50371	12279
1608	50405	12249
1609	50437	12217
1610	50469	12186
1611	50502	12155
1612	50533	12124
1613	50564	12092
1614	50598	12062
1615	50628	12030
1616	50661	11999
1617	50691	11968
1618	50722	11936
1619	50751	11904
1620	50781	11873
1621	50812	11841
1622	50843	11810
1623	50878	11779
1624	50910	11748
1625	50940	11716
1626	50972	11685
1627	51003	11654
1628	51036	11623
1629	51065	11591
1630	51097	11560
1631	51127	11528
1632	51157	11497
1633	51189	11465
1634	51225	11435
1635	51257	11404
1636	51288	11373
1637	51319	11341
1638	51351	11310
1639	51384	11279
1640	51415	11248
1641	51446	11216
1642	51479	11185
1643	51510	11154
